"unitid","value","year","metric","var_type"
100663,58.5160680529301,2023,"pct_undergrad","computed"
100663,49,2023,"pct_white","raw"
100663,26,2023,"residential_share","external"
100663,21160,2023,"total_enrollment","raw"
100663,1060,2023,"transfer_in_enrollment","raw"
100663,12382,2023,"undergraduate_enrollment","raw"
100663,2014,2024,"first_time_enrollment","raw"
100663,14679,2024,"full_time_enrollment","raw"
100663,34489,2024,"median_family_income","external"
100663,17,2024,"pct_age_25plus","raw"
100663,0,2024,"pct_aian","raw"
100663,8,2024,"pct_asian","raw"
100663,41,2024,"pct_bipoc","computed"
100663,22,2024,"pct_black","raw"
100663,34.1223671,2024,"pct_first_generation","external"
100663,42.7935900502272,2024,"pct_graduate","computed"
100663,7,2024,"pct_hispanic","raw"
100663,9,2024,"pct_international","raw"
100663,0,2024,"pct_nhpi","raw"
100663,29.7823487204018,2024,"pct_part_time","computed"
100663,2,2024,"pct_race_unknown","raw"
100663,4,2024,"pct_two_or_more","raw"
100663,57.2064099497728,2024,"pct_undergrad","computed"
100663,48,2024,"pct_white","raw"
100663,26,2024,"residential_share","external"
100663,20905,2024,"total_enrollment","raw"
100663,1098,2024,"transfer_in_enrollment","raw"
100663,11959,2024,"undergraduate_enrollment","raw"
100690,0,2020,"first_time_enrollment","raw"
100690,308,2020,"full_time_enrollment","raw"
100690,NA,2020,"pct_age_25plus","raw"
100690,0,2020,"pct_aian","raw"
100690,1,2020,"pct_asian","raw"
100690,63,2020,"pct_bipoc","computed"
100690,57,2020,"pct_black","raw"
100690,61.5483870967742,2020,"pct_graduate","computed"
100690,3,2020,"pct_hispanic","raw"
100690,0,2020,"pct_international","raw"
100690,0,2020,"pct_nhpi","raw"
100690,60.258064516129,2020,"pct_part_time","computed"
100690,2,2020,"pct_race_unknown","raw"
100690,0,2020,"pct_two_or_more","raw"
100690,38.4516129032258,2020,"pct_undergrad","computed"
100690,35,2020,"pct_white","raw"
100690,775,2020,"total_enrollment","raw"
100690,228,2020,"transfer_in_enrollment","raw"
100690,298,2020,"undergraduate_enrollment","raw"
100690,0,2021,"first_time_enrollment","raw"
100690,289,2021,"full_time_enrollment","raw"
100690,85,2021,"pct_age_25plus","raw"
100690,1,2021,"pct_aian","raw"
100690,1,2021,"pct_asian","raw"
100690,63,2021,"pct_bipoc","computed"
100690,57,2021,"pct_black","raw"
100690,65.283540802213,2021,"pct_graduate","computed"
100690,4,2021,"pct_hispanic","raw"
100690,0,2021,"pct_international","raw"
100690,0,2021,"pct_nhpi","raw"
100690,60.0276625172891,2021,"pct_part_time","computed"
100690,2,2021,"pct_race_unknown","raw"
100690,0,2021,"pct_two_or_more","raw"
100690,34.716459197787,2021,"pct_undergrad","computed"
100690,35,2021,"pct_white","raw"
100690,723,2021,"total_enrollment","raw"
100690,218,2021,"transfer_in_enrollment","raw"
100690,251,2021,"undergraduate_enrollment","raw"
100690,0,2022,"first_time_enrollment","raw"
100690,260,2022,"full_time_enrollment","raw"
100690,NA,2022,"pct_age_25plus","raw"
100690,1,2022,"pct_aian","raw"
100690,1,2022,"pct_asian","raw"
100690,60,2022,"pct_bipoc","computed"
100690,55,2022,"pct_black","raw"
100690,64.7604327666152,2022,"pct_graduate","computed"
100690,3,2022,"pct_hispanic","raw"
100690,0,2022,"pct_international","raw"
100690,1,2022,"pct_nhpi","raw"
100690,59.8145285935085,2022,"pct_part_time","computed"
100690,2,2022,"pct_race_unknown","raw"
