"unitid","year","metric","value"
102234,2024,"pct_athletes_overall",38.7054161162484
102234,2024,"pct_female_athletes",30.787037037037
102234,2024,"pct_male_athletes",49.2307692307692
102234,2024,"total_athletes_undup",293
102234,2024,"total_varsity_sports",14
102234,2024,"womens_varsity_sports",8
102270,2024,"female_athletes_undup",68
102270,2024,"male_athletes_undup",91
102270,2024,"mens_varsity_sports",5
102270,2024,"multi_sport_ratio",1.0125786163522
102270,2024,"pct_athletes_overall",25.1582278481013
102270,2024,"pct_female_athletes",18.3783783783784
102270,2024,"pct_male_athletes",34.7328244274809
102270,2024,"total_athletes_undup",159
102270,2024,"total_varsity_sports",11
102270,2024,"womens_varsity_sports",6
102298,2024,"female_athletes_undup",39
102298,2024,"male_athletes_undup",41
102298,2024,"mens_varsity_sports",6
102298,2024,"multi_sport_ratio",2.8
102298,2024,"pct_athletes_overall",11.5107913669065
102298,2024,"pct_female_athletes",13.8297872340426
102298,2024,"pct_male_athletes",9.9273607748184
102298,2024,"total_athletes_undup",80
102298,2024,"total_varsity_sports",11
102298,2024,"womens_varsity_sports",5
102368,2024,"female_athletes_undup",154
102368,2024,"male_athletes_undup",259
102368,2024,"mens_varsity_sports",6
102368,2024,"multi_sport_ratio",1.17675544794189
102368,2024,"pct_athletes_overall",5.88990302338848
102368,2024,"pct_female_athletes",3.46534653465347
102368,2024,"pct_male_athletes",10.0856697819315
102368,2024,"total_athletes_undup",413
102368,2024,"total_varsity_sports",13
102368,2024,"womens_varsity_sports",7
102377,2024,"female_athletes_undup",97
102377,2024,"male_athletes_undup",248
102377,2024,"mens_varsity_sports",7
102377,2024,"multi_sport_ratio",1.20869565217391
102377,2024,"pct_athletes_overall",13.5029354207436
102377,2024,"pct_female_athletes",6.11601513240857
102377,2024,"pct_male_athletes",25.593395252838
102377,2024,"total_athletes_undup",345
102377,2024,"total_varsity_sports",14
102377,2024,"womens_varsity_sports",7
102395,2024,"female_athletes_undup",37
102395,2024,"male_athletes_undup",76
102395,2024,"mens_varsity_sports",3
102395,2024,"multi_sport_ratio",1
102395,2024,"pct_athletes_overall",64.9425287356322
102395,2024,"pct_female_athletes",78.7234042553192
102395,2024,"pct_male_athletes",59.8425196850394
102395,2024,"total_athletes_undup",113
102395,2024,"total_varsity_sports",6
