"unitid","value","year","metric","var_type"
100751,58418,2023,"application_volume","raw"
100751,45,2023,"pct_submitting_act","raw"
100751,18,2023,"pct_submitting_sat","raw"
100751,39,2023,"pct_top10_hs","external"
100751,1280,2023,"sat_mid50","computed"
100751,-2,2023,"yield_men_vs_women","computed"
100751,19,2023,"yield_rate","raw"
100751,77,2024,"acceptance_rate","raw"
100751,27,2024,"act_mid50","computed"
100751,56795,2024,"application_volume","raw"
100751,43,2024,"pct_submitting_act","raw"
100751,15,2024,"pct_submitting_sat","raw"
100751,25,2024,"pct_top10_hs","external"
100751,1270,2024,"sat_mid50","computed"
100751,-1,2024,"yield_men_vs_women","computed"
100751,18,2024,"yield_rate","raw"
100830,96,2020,"acceptance_rate","raw"
100830,20.5,2020,"act_mid50","computed"
100830,4606,2020,"application_volume","raw"
100830,83,2020,"pct_submitting_act","raw"
100830,5,2020,"pct_submitting_sat","raw"
100830,15,2020,"pct_top10_hs","external"
100830,1000,2020,"sat_mid50","computed"
100830,0,2020,"yield_men_vs_women","computed"
100830,15,2020,"yield_rate","raw"
100830,97,2021,"acceptance_rate","raw"
100830,20.5,2021,"act_mid50","computed"
100830,3405,2021,"application_volume","raw"
100830,80,2021,"pct_submitting_act","raw"
100830,4,2021,"pct_submitting_sat","raw"
100830,16,2021,"pct_top10_hs","external"
100830,1055,2021,"sat_mid50","computed"
100830,-2,2021,"yield_men_vs_women","computed"
100830,16,2021,"yield_rate","raw"
100830,92,2022,"acceptance_rate","raw"
100830,20,2022,"act_mid50","computed"
100830,2290,2022,"application_volume","raw"
100830,75,2022,"pct_submitting_act","raw"
100830,4,2022,"pct_submitting_sat","raw"
100830,16,2022,"pct_top10_hs","external"
100830,1070,2022,"sat_mid50","computed"
100830,-2,2022,"yield_men_vs_women","computed"
100830,19,2022,"yield_rate","raw"
100830,93,2023,"acceptance_rate","raw"
100830,21,2023,"act_mid50","computed"
100830,2213,2023,"application_volume","raw"
100830,57,2023,"pct_submitting_act","raw"
100830,3,2023,"pct_submitting_sat","raw"
100830,18,2023,"pct_top10_hs","external"
100830,1100,2023,"sat_mid50","computed"
100830,-7,2023,"yield_men_vs_women","computed"
100830,20,2023,"yield_rate","raw"
100830,92,2024,"acceptance_rate","raw"
100830,21,2024,"act_mid50","computed"
100830,2694,2024,"application_volume","raw"
100830,65,2024,"pct_submitting_act","raw"
100830,6,2024,"pct_submitting_sat","raw"
100830,10,2024,"pct_top10_hs","external"
100830,1130,2024,"sat_mid50","computed"
100830,0,2024,"yield_men_vs_women","computed"
100830,15,2024,"yield_rate","raw"
100858,85,2020,"acceptance_rate","raw"
100858,28,2020,"act_mid50","computed"
100858,17946,2020,"application_volume","raw"
100858,83,2020,"pct_submitting_act","raw"
100858,17,2020,"pct_submitting_sat","raw"
100858,34,2020,"pct_top10_hs","external"
100858,1240,2020,"sat_mid50","computed"
100858,-5,2020,"yield_men_vs_women","computed"
100858,32,2020,"yield_rate","raw"
100858,71,2021,"acceptance_rate","raw"
100858,27619,2021,"application_volume","raw"
100858,31,2021,"pct_top10_hs","external"
100858,-5,2021,"yield_men_vs_women","computed"
100858,27,2021,"yield_rate","raw"
100858,44,2022,"acceptance_rate","raw"
100858,27,2022,"act_mid50","computed"
100858,45933,2022,"application_volume","raw"
100858,79,2022,"pct_submitting_act","raw"
100858,16,2022,"pct_submitting_sat","raw"
100858,40,2022,"pct_top10_hs","external"
100858,1300,2022,"sat_mid50","computed"
100858,-6,2022,"yield_men_vs_women","computed"
100858,26,2022,"yield_rate","raw"
100858,50,2023,"acceptance_rate","raw"
100858,28,2023,"act_mid50","computed"
100858,48178,2023,"application_volume","raw"
100858,71,2023,"pct_submitting_act","raw"
100858,17,2023,"pct_submitting_sat","raw"
100858,37,2023,"pct_top10_hs","external"
100858,1310,2023,"sat_mid50","computed"
100858,-6,2023,"yield_men_vs_women","computed"
100858,24,2023,"yield_rate","raw"
100858,46,2024,"acceptance_rate","raw"
100858,29,2024,"act_mid50","computed"
100858,55056,2024,"application_volume","raw"
100858,75,2024,"pct_submitting_act","raw"
100858,15,2024,"pct_submitting_sat","raw"
100858,35,2024,"pct_top10_hs","external"
100858,1320,2024,"sat_mid50","computed"
100858,-5,2024,"yield_men_vs_women","computed"
100858,24,2024,"yield_rate","raw"
100937,60,2020,"acceptance_rate","raw"
100937,25,2020,"act_mid50","computed"
100937,2460,2020,"application_volume","raw"
100937,77,2020,"pct_submitting_act","raw"
100937,14,2020,"pct_submitting_sat","raw"
100937,18,2020,"pct_top10_hs","external"
100937,1105,2020,"sat_mid50","computed"
100937,-4,2020,"yield_men_vs_women","computed"
100937,17,2020,"yield_rate","raw"
100937,66,2021,"acceptance_rate","raw"
100937,25,2021,"act_mid50","computed"
100937,2461,2021,"application_volume","raw"
100937,54,2021,"pct_submitting_act","raw"
100937,7,2021,"pct_submitting_sat","raw"
100937,24,2021,"pct_top10_hs","external"
100937,1165,2021,"sat_mid50","computed"
100937,-4,2021,"yield_men_vs_women","computed"
100937,15,2021,"yield_rate","raw"
100937,57,2022,"acceptance_rate","raw"
100937,25,2022,"act_mid50","computed"
100937,3019,2022,"application_volume","raw"
100937,50,2022,"pct_submitting_act","raw"
100937,14,2022,"pct_submitting_sat","raw"
100937,20,2022,"pct_top10_hs","external"
100937,1210,2022,"sat_mid50","computed"
100937,-7,2022,"yield_men_vs_women","computed"
100937,14,2022,"yield_rate","raw"
100937,52,2023,"acceptance_rate","raw"
100937,24,2023,"act_mid50","computed"
100937,3987,2023,"application_volume","raw"
100937,41,2023,"pct_submitting_act","raw"
100937,9,2023,"pct_submitting_sat","raw"
100937,1230,2023,"sat_mid50","computed"
100937,-5,2023,"yield_men_vs_women","computed"
100937,7,2023,"yield_rate","raw"
101189,76,2020,"acceptance_rate","raw"
101189,20.5,2020,"act_mid50","computed"
101189,1572,2020,"application_volume","raw"
101189,78,2020,"pct_submitting_act","raw"
101189,9,2020,"pct_submitting_sat","raw"
101189,1097.5,2020,"sat_mid50","computed"
101189,-8,2020,"yield_men_vs_women","computed"
